id_envio,corredor_armazenagem,metodo_envio,ligacoes_cliente,avaliacao_cliente,preco,qtd_itens,importancia,genero,desconto,peso_g,entrega_no_prazo,destino,data_envio,data_entrega,avaliacao_entrega,ingestion_timestamp,dias_entrega,categoria_entrega,avaliacao_final,entrega_rapida,faixa_preco,cliente_exigente
492,F,pac,5,4,224.0,3,low,F,34,2627,1,Alagoas,2024-10-27,2024-10-30,5,2025-05-20T23:01:37.806Z,3,normal,4.5,0,alto,0
2095,D,pac,3,5,272.0,10,medium,M,59,2182,1,Rondônia,2020-04-07,2020-04-08,4,2025-05-20T23:01:37.806Z,1,expressa,4.5,1,alto,0
2696,F,pac,5,1,224.0,2,low,F,14,2959,1,Sergipe,2022-06-16,2022-06-19,4,2025-05-20T23:01:37.806Z,3,normal,2.5,0,alto,1
2891,C,transportadora,4,5,187.0,5,medium,M,16,3781,1,Ceará,2021-05-22,2021-05-25,4,2025-05-20T23:01:37.806Z,3,normal,4.5,0,médio,0
3536,F,sedex,6,3,222.0,5,high,F,2,4612,0,Roraima,2021-08-08,2021-08-16,3,2025-05-20T23:01:37.806Z,8,lenta,3.0,0,alto,0
3888,F,pac,4,3,174.0,2,low,M,10,5554,0,Tocantins,2021-07-25,2021-08-01,1,2025-05-20T23:01:37.806Z,7,lenta,2.0,0,médio,1
6228,F,pac,5,1,249.0,4,medium,M,5,1027,1,Pará,2023-09-20,2023-09-22,5,2025-05-20T23:01:37.806Z,2,expressa,3.0,1,alto,1
6907,D,pac,4,5,249.0,5,medium,M,3,1530,1,Rio Grande do Sul,2022-10-29,2022-10-30,5,2025-05-20T23:01:37.806Z,1,expressa,5.0,1,alto,0
7052,F,pac,3,5,222.0,5,medium,M,2,4027,1,Espírito Santo,2021-04-02,2021-04-07,4,2025-05-20T23:01:37.806Z,5,normal,4.5,0,alto,0
7237,D,sedex,4,5,240.0,3,low,F,5,5734,1,Pernambuco,2020-08-05,2020-08-08,5,2025-05-20T23:01:37.806Z,3,normal,5.0,0,alto,0
7395,A,transportadora,4,2,223.0,5,medium,F,3,4480,0,Alagoas,2022-06-30,2022-07-26,1,2025-05-20T23:01:37.806Z,26,lenta,1.5,0,alto,1
10013,C,transportadora,3,1,263.0,3,medium,M,4,4616,0,Alagoas,2020-06-08,2020-07-10,1,2025-05-20T23:01:37.806Z,32,lenta,1.0,0,alto,1
10085,C,pac,4,4,249.0,3,medium,F,1,5743,0,Maranhão,2021-11-22,2021-11-30,2,2025-05-20T23:01:37.806Z,8,lenta,3.0,0,alto,1
10581,A,pac,3,1,235.0,3,low,F,9,5735,0,Rondônia,2023-01-06,2023-01-13,1,2025-05-20T23:01:37.806Z,7,lenta,1.0,0,alto,1
1794,F,transportadora,3,1,163.0,3,medium,M,59,1005,1,Pernambuco,2023-11-18,2023-11-23,5,2025-05-20T23:01:37.806Z,5,normal,3.0,0,médio,1
2770,B,pac,3,3,178.0,3,high,M,43,1517,1,Espírito Santo,2021-07-25,2021-07-26,5,2025-05-20T23:01:37.806Z,1,expressa,4.0,1,médio,0
2960,F,pac,3,4,231.0,3,medium,F,49,3441,1,Rondônia,2021-03-05,2021-03-07,5,2025-05-20T23:01:37.806Z,2,expressa,4.5,1,alto,0
3027,A,transportadora,3,5,212.0,2,medium,M,56,3547,1,Alagoas,2024-06-22,2024-06-26,4,2025-05-20T23:01:37.806Z,4,normal,4.5,0,alto,0
4248,F,transportadora,3,5,161.0,3,low,M,2,4475,0,Mato Grosso do Sul,2023-08-31,2023-09-08,1,2025-05-20T23:01:37.806Z,8,lenta,3.0,0,médio,1
4545,A,pac,6,4,265.0,4,low,F,9,1511,0,Rio Grande do Sul,2020-03-12,2020-04-08,1,2025-05-20T23:01:37.806Z,27,lenta,2.5,0,alto,1
4845,A,pac,5,3,263.0,2,low,M,3,4474,1,Rondônia,2024-07-27,2024-07-30,4,2025-05-20T23:01:37.806Z,3,normal,3.5,0,alto,0
5191,D,sedex,4,4,231.0,2,low,F,4,5825,0,Pernambuco,2021-08-27,2021-09-15,1,2025-05-20T23:01:37.806Z,19,lenta,2.5,0,alto,1
6583,D,transportadora,7,2,279.0,4,medium,F,1,1480,0,desconhecido,2023-11-02,2023-12-08,3,2025-05-20T23:01:37.806Z,36,lenta,2.5,0,alto,1
6886,B,pac,4,3,245.0,6,low,F,3,1155,0,São Paulo,2022-08-29,2022-09-29,0,2025-05-20T23:01:37.806Z,31,lenta,1.5,0,alto,1
7085,C,pac,4,1,168.0,2,medium,F,1,5698,1,Santa Catarina,2021-09-10,2021-09-15,4,2025-05-20T23:01:37.806Z,5,normal,2.5,0,médio,1
8265,A,pac,7,1,281.0,4,low,F,9,1235,0,Acre,2020-02-13,2020-02-23,2,2025-05-20T23:01:37.806Z,10,lenta,1.5,0,alto,1
8385,A,pac,3,1,223.0,2,low,M,8,5719,1,Mato Grosso,2022-03-27,2022-03-31,4,2025-05-20T23:01:37.806Z,4,normal,2.5,0,alto,1
8849,C,pac,4,3,263.0,3,medium,M,3,4677,0,Espírito Santo,2020-05-05,2020-06-14,2,2025-05-20T23:01:37.806Z,40,lenta,2.5,0,alto,1
9918,F,pac,5,5,243.0,5,medium,M,2,1817,0,Piauí,2023-11-02,2023-12-09,3,2025-05-20T23:01:37.806Z,37,lenta,4.0,0,alto,0
10935,A,sedex,5,4,275.0,5,low,M,4,1522,1,Ceará,2023-01-26,2023-01-27,4,2025-05-20T23:01:37.806Z,1,expressa,4.0,1,alto,0
1785,A,transportadora,5,3,208.0,4,medium,M,10,2419,1,Acre,2021-10-24,2021-10-25,5,2025-05-20T23:01:37.806Z,1,expressa,4.0,1,alto,0
