id_envio;corredor_de_armazenagem;metodo_de_envio;ligações_do_cliente;avaliação_do_cliente;preço;qtd_itens;importancia;genero;desconto;peso_g;Chegou_no_tempo;Destino;DataEnvio;dataEntrega;avaliacaoEntrega
1;D;Transportadora;4;2;177;3;low;F;44;1233;1;Piauí;quarta-feira, 1 de junho de 2022;sábado, 4 de junho de 2022;4
2;F;Transportadora;4;5;216;2;low;M;59;3088;1;Espírito Santo;sexta-feira, 29 de abril de 2022;terça-feira, 3 de maio de 2022;4
3;A;Transportadora;2;2;183;4;low;M;48;3374;1;Rio Grande do Sul;sábado, 3 de julho de 2021;domingo, 4 de julho de 2021;5
4;B;Transportadora;3;3;176;4;medium;M;10;1177;1;Mato Grosso do Sul;domingo, 27 de setembro de 2020;quarta-feira, 30 de setembro de 2020;5
5;C;Transportadora;2;2;184;3;medium;F;46;2484;1;Amazonas;quinta-feira, 27 de abril de 2023;domingo, 30 de abril de 2023;4
6;F;Transportadora;3;1;162;3;medium;F;12;1417;1;Rondônia;segunda-feira, 27 de dezembro de 2021;terça-feira, 28 de dezembro de 2021;5
7;D;Transportadora;3;4;250;3;low;F;3;2371;1;Rio de Janeiro;quinta-feira, 22 de agosto de 2024;segunda-feira, 26 de agosto de 2024;5
8;F;Transportadora;4;1;233;2;low;F;48;2804;1;Pernambuco;sábado, 6 de abril de 2024;segunda-feira, 8 de abril de 2024;4
9;A;Transportadora;3;4;150;3;low;F;11;1861;1;Mato Grosso do Sul;sábado, 5 de agosto de 2023;quarta-feira, 9 de agosto de 2023;4
10;B;Transportadora;3;2;164;3;medium;F;29;1187;1;Santa Catarina;quinta-feira, 12 de outubro de 2023;terça-feira, 17 de outubro de 2023;4
11;C;Transportadora;3;4;189;2;medium;M;12;2888;1;Mato Grosso do Sul;sexta-feira, 7 de fevereiro de 2020;sábado, 8 de fevereiro de 2020;5
12;F;Transportadora;4;5;232;3;medium;F;32;3253;1;Mato Grosso do Sul;quinta-feira, 11 de novembro de 2021;segunda-feira, 15 de novembro de 2021;5
13;D;Transportadora;3;5;198;3;medium;F;1;3667;1;Rio de Janeiro;quarta-feira, 24 de abril de 2024;domingo, 28 de abril de 2024;4
14;F;Transportadora;4;4;275;3;high;M;29;2602;1;Rondônia;quinta-feira, 4 de maio de 2023;terça-feira, 9 de maio de 2023;4
15;A;Transportadora;4;3;152;3;low;M;43;1009;1;Paraná;quarta-feira, 10 de fevereiro de 2021;sexta-feira, 12 de fevereiro de 2021;4
16;B;Transportadora;4;3;227;3;low;F;45;2707;1;Santa Catarina;domingo, 12 de maio de 2024;quarta-feira, 15 de maio de 2024;5
17;C;Transportadora;3;4;143;2;medium;F;6;1194;1;Paraíba;sábado, 5 de dezembro de 2020;quarta-feira, 9 de dezembro de 2020;4
18;F;PAC;5;5;227;3;medium;M;36;3952;1;Rio Grande do Norte;terça-feira, 28 de julho de 2020;quinta-feira, 30 de julho de 2020;5
19;D;PAC;5;5;239;3;high;M;18;2495;1;Rondônia;segunda-feira, 17 de outubro de 2022;sábado, 22 de outubro de 2022;4
20;F;PAC;4;5;145;3;medium;M;45;1059;1;Pernambuco;domingo, 19 de julho de 2020;sexta-feira, 24 de julho de 2020;5
21;A;PAC;3;3;161;2;medium;F;38;1521;1;Mato Grosso do Sul;quarta-feira, 3 de fevereiro de 2021;sábado, 6 de fevereiro de 2021;4
22;B;PAC;3;1;232;4;medium;F;51;2899;1;Rio Grande do Norte;domingo, 10 de setembro de 2023;segunda-feira, 11 de setembro de 2023;4
23;C;PAC;2;5;156;2;low;M;2;1750;1;Rondônia;quinta-feira, 12 de agosto de 2021;terça-feira, 17 de agosto de 2021;4
24;F;PAC;4;3;211;3;high;M;12;3922;1;Bahia;quinta-feira, 19 de novembro de 2020;sábado, 21 de novembro de 2020;4
25;D;PAC;4;5;251;2;medium;F;28;3561;1;Goiás;sábado, 4 de abril de 2020;terça-feira, 7 de abril de 2020;4
26;F;PAC;3;1;225;4;low;M;29;3496;1;Pará;sexta-feira, 20 de setembro de 2024;quarta-feira, 25 de setembro de 2024;5
27;A;PAC;4;1;172;3;high;F;24;1066;1;Mato Grosso;quinta-feira, 10 de dezembro de 2020;terça-feira, 15 de dezembro de 2020;5
28;B;PAC;5;1;162;3;medium;M;31;1435;1;Rio de Janeiro;quinta-feira, 7 de maio de 2020;segunda-feira, 11 de maio de 2020;4
29;C;PAC;2;3;234;4;low;M;44;3134;1;Rio Grande do Sul;terça-feira, 20 de outubro de 2020;sexta-feira, 23 de outubro de 2020;4
30;F;PAC;5;4;183;2;low;F;36;3819;1;Piauí;sábado, 18 de janeiro de 2020;quarta-feira, 22 de janeiro de 2020;5
31;D;PAC;3;4;266;2;medium;F;38;2741;1;Minas Gerais;quinta-feira, 12 de agosto de 2021;segunda-feira, 16 de agosto de 2021;4
